"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка доступности главной страницы (HTTP 200)","0","HTTP статус главной страницы","","Mon Feb 02 15:53:27 UTC 2026","broken","Mon Feb 02 15:53:27 UTC 2026","","test_piter","",""
"Открытие меню регионов → выбор Гатчины → проверка текста","0","Смена региона на Гатчину","","Mon Feb 02 15:53:26 UTC 2026","broken","Mon Feb 02 15:53:26 UTC 2026","","test_piter","",""
"Проверка доступности главной страницы (HTTP 200)","0","HTTP статус главной страницы","","Mon Feb 02 15:53:27 UTC 2026","broken","Mon Feb 02 15:53:27 UTC 2026","","test_piter","",""
"Заполнение формы адрес+телефон, переход к тарифам","0","Подача заявки","","Mon Feb 02 15:53:25 UTC 2026","broken","Mon Feb 02 15:53:25 UTC 2026","","test_piter","",""
"Заполнение формы адрес+телефон, переход к тарифам","0","Подача заявки","","Mon Feb 02 15:53:25 UTC 2026","broken","Mon Feb 02 15:53:25 UTC 2026","","test_piter","",""
"Открытие меню регионов → выбор Гатчины → проверка текста","0","Смена региона на Гатчину","","Mon Feb 02 15:53:27 UTC 2026","broken","Mon Feb 02 15:53:27 UTC 2026","","test_piter","",""
"Открытие меню регионов → выбор Гатчины → проверка текста","0","Смена региона на Гатчину","","Mon Feb 02 15:53:26 UTC 2026","broken","Mon Feb 02 15:53:26 UTC 2026","","test_piter","",""
"Открытие меню регионов → выбор Гатчины → проверка текста","0","Смена региона на Гатчину","","Mon Feb 02 15:53:26 UTC 2026","broken","Mon Feb 02 15:53:26 UTC 2026","","test_piter","",""
"Заполнение формы адрес+телефон, переход к тарифам","0","Подача заявки","","Mon Feb 02 15:53:25 UTC 2026","broken","Mon Feb 02 15:53:25 UTC 2026","","test_piter","",""
"Проверка доступности главной страницы (HTTP 200)","0","HTTP статус главной страницы","","Mon Feb 02 15:53:28 UTC 2026","broken","Mon Feb 02 15:53:28 UTC 2026","","test_piter","",""
"Заполнение формы адрес+телефон, переход к тарифам","0","Подача заявки","","Mon Feb 02 15:53:24 UTC 2026","broken","Mon Feb 02 15:53:24 UTC 2026","","test_piter","",""
"Открытие меню регионов → выбор Гатчины → проверка текста","0","Смена региона на Гатчину","","Mon Feb 02 15:53:26 UTC 2026","broken","Mon Feb 02 15:53:26 UTC 2026","","test_piter","",""
"Заполнение формы адрес+телефон, переход к тарифам","0","Подача заявки","","Mon Feb 02 15:53:25 UTC 2026","broken","Mon Feb 02 15:53:25 UTC 2026","","test_piter","",""
"Проверка доступности главной страницы (HTTP 200)","0","HTTP статус главной страницы","","Mon Feb 02 15:53:27 UTC 2026","broken","Mon Feb 02 15:53:27 UTC 2026","","test_piter","",""
"Проверка доступности главной страницы (HTTP 200)","0","HTTP статус главной страницы","","Mon Feb 02 15:53:27 UTC 2026","broken","Mon Feb 02 15:53:27 UTC 2026","","test_piter","",""
